id,file,tags,categories,intensity,note
1,00030-829693321.png,smile,笑顔,,
2,00032-1023859317.png,shy,照れ,,embarrassed
3,00033-2323937743.png,angry,怒り,,annoyed
4,00037-2796545261.png,sad,悲しみ,,depressed
5,00044-3916358841.png,expressionless,無所属,,
6,00045-1453371646.png,surprised,驚き,,shocked
7,00047-1561403789.png,fang|open mouth,無所属,,
8,00048-2341623567.png,skin fang|open mouth,無所属,,
9,00050-1984680902.png,smug,笑顔,,
10,00052-4293175387.png,confused,無所属,,
11,00055-2616467186.png,@_@,驚き,,spiral-only eyes
12,00057-2648079888.png,sparkling eyes,無所属,,+_+
13,00058-914352057.png,grin,笑顔,,
14,00061-2112805926.png,clenched teeth,無所属,,
15,00062-4067911417.png,parted lips,無所属,,
16,00065-2283938126.png,licking lips,無所属,,:P
17,00066-1045383324.png,tongue out,無所属,,
18,00067-4221102587.png,teeth,無所属,,
19,00069-2225681907.png,sharp teeth,無所属,,
20,00070-2530562632.png,sweat,無所属,,
21,00072-2163004550.png,sweatdrop,無所属,,
22,00074-187063353.png,uneven eyes,無所属,,
23,00075-313215107.png,shaded face,悲しみ,,
24,00076-38647960.png,wide-eyed,驚き,,
25,00011-3320852017.png,tsurime,無所属,,
26,00014-1974353256.png,jitome,無所属,,
27,00014-3121977944.png,tareme,無所属,,
28,00019-3191211176.png,chestnut mouth,無所属,,
29,00019-980204737.png,half-closed eyes,無所属,,"narrowed eyes, "
30,00021-854877382.png,wavy mouth,無所属,,
31,00023-533233778.png,light smile,笑顔,,
32,00029-133318544.png,naughty smile,笑顔,,
33,00033-3355752474.png,evil smile,笑顔,,
34,00036-3837649190.png,nose blush,照れ,,
36,00038-1700115445.png,blush,照れ,,
37,00042-1535013935.png,wink,無所属,,
38,00042-195026485.png,scared,驚き,,
39,00044-3106904733.png,head tilt,無所属,,
40,00052-1139814202.png,frown,怒り,,
41,00063-2637657776.png,pout,怒り,,
42,00069-4070766218.png,glaring,怒り,,
43,00075-1134277827.png,v-shaped eyebrows,無所属,,
44,00090-3809559917.png,smirk,笑顔,,
45,00090-720234623.png,full-face blush,照れ,,
46,00096-2142842704.png,yandere,無所属,,
47,00100-1273554509.png,empty eyes,無所属,,no pupils
48,00104-1665737147.png,ringed eyes,無所属,,
49,00112-1770178112.png,dot mouth,無所属,,
50,00117-308893447.png,triangle mouth,無所属,,
51,00134-2822189177.png,disdain,怒り,,
52,00134-2961722759.png,heart-shaped pupils,無所属,,
53,00138-3475658572.png,disgust,怒り,,
54,00149-1612639390.png,gloom (expression),悲しみ,,
55,00152-131582663.png,rolling eyes,無所属,,
56,00152-1539849715.png,tears,悲しみ,,
57,00156-2817403325.png,horrified,驚き,,
58,00159-1043817296.png,nervous,照れ,,
59,00169-2211368656.png,panicking,驚き,,
60,00170-2849258707.png,turn pale,悲しみ,,
61,00179-2990611090.png,half-closed eyes|smile,笑顔,,
62,00184-256662437.png,glaring|clenched teeth,怒り,,
63,00184-2690690944.png,sad|open mouth|turn pale,悲しみ,,
64,00190-2639630825.png,half-closed eyes|shy|nose blush,照れ,,
65,00191-2199639015.png,surprised|uneven eyes|open mouth|wavy mouth,驚き,,
66,00195-529452100.png,smug|open mouth|fang,笑顔,,
67,00198-2660791025.png,exhausted,無所属,,
68,00207-1257897736.png,drunk,無所属,,
69,00210-3473514892.png,sleepy,無所属,,
70,00212-3628568081.png,upturned eyes,無所属,,
71,00217-1560197687.png,confused|head tilt|open mouth,無所属,,
72,00222-4005246678.png,sanpaku,無所属,,
73,00246-560803376.png,constricted pupils,驚き,,
74,00251-124939761.png,solid circle pupils,悲しみ,,
75,00259-1314239158.png,bags under eyes,無所属,,
76,00263-207106366.png,=_=,無所属,,目の色のプロンプトを消す
77,00265-1147186297.png,>_<,無所属,,目の色のプロンプトを消す
78,00271-2371575134.png,open mouth,無所属,,
79,00273-3327238066.png,closed mouth,無所属,,
80,00275-2950276044.png,:O,無所属,,
81,00281-2424847594.png,puckered lips,無所属,,
82,00282-764344306.png,:3,笑顔,,
83,00294-1646522896.png,biting own lip,無所属,,
84,00298-1518819730.png,screaming,驚き,,
85,00304-4183685173.png,streaming tears,悲しみ,,
86,00311-1596408055.png,wavy eyes,悲しみ,,
87,00320-484257936.png,trembling,無所属,,
88,00330-2711565933.png,furrowed brow,悲しみ,,
89,00344-2587712881.png,drooling,無所属,,
90,00347-3679950808.png,sparkling eyes|drooling,無所属,,
91,00008-362241712.png,constricted pupils|:3|sweatdrop,驚き,,
92,00016-278713500.png,smile|open mouth|>_<,笑顔,,
93,00018-2813754450.png,grin|sharp teeth,笑顔,,
94,00022-3850261879.png,expressionless|jitome|chestnut mouth,無所属,,
95,00035-2102231927.png,nervous|light smile|open mouth,照れ,,
96,00046-2014995232.png,full-face blush|uneven eyes|open mouth|surprised,照れ,,
97,00048-3122083699.png,blush|wavy mouth|open mouth,照れ,,
98,00051-32899855.png,frown|wavy mouth|open mouth,怒り,,
99,00052-167795392.png,pout|half-closed eyes,怒り,,
100,00052-1696521965.png,disgust|sweatdrop|:O,無所属,,
101,00057-1053399730.png,disdain|tsurime,怒り,,
102,00068-3245407129.png,shaded face|yandere|smile|closed mouth,笑顔,,
103,00074-1053811862.png,gloom expression|open mouth|tears,悲しみ,,
104,00079-4027369342.png,glaring|trembling|clenched teeth,怒り,,
105,00098-4180976538.png,tears|sleepy|yawning,無所属,,
106,00102-1189852988.png,turn pale|closed mouth|empty eyes,悲しみ,,
107,00106-2674279896.png,@_@|ringed eyes|panicking,驚き,,
108,00109-2340633668.png,wide-eyed|uneven eyes|sweatdrop,驚き,,
109,00110-3315720390.png,scared|shaded face,驚き,,
110,00117-1951599522.png,horrified|open mouth,驚き,,
111,00122-783901282.png,confused|@_@,無所属,,
112,00129-3065783723.png,heart-shaped pupils|puckered lips,無所属,,
113,00138-1947509659.png,smile|uneven eyes|open mouth|head tilt,笑顔,,
114,00148-2566227916.png,wink|licking lips|smile,笑顔,,
